use_async,use_mmap,use_parallel,cold_cache,repeat,duration
true,true,true,true,0,2.7277
true,true,true,false,0,0.1244
true,false,true,true,0,0.6312
true,false,true,false,0,0.2880
true,false,false,true,0,0.7912
true,false,false,false,0,0.4144
false,true,true,true,0,0.7667
false,true,true,false,0,0.0578
false,true,false,true,0,2.6823
false,true,false,false,0,0.1218
false,false,true,true,0,0.6285
false,false,true,false,0,0.0702
false,false,false,true,0,0.7169
false,false,false,false,0,0.1489
true,true,true,true,1,2.6848
true,true,true,false,1,0.1249
true,false,true,true,1,0.6298
true,false,true,false,1,0.2571
true,false,false,true,1,0.7709
true,false,false,false,1,0.3677
false,true,true,true,1,0.8438
false,true,true,false,1,0.0672
false,true,false,true,1,2.8861
false,true,false,false,1,0.1332
false,false,true,true,1,0.6250
false,false,true,false,1,0.0715
false,false,false,true,1,0.7037
false,false,false,false,1,0.1558
true,true,true,true,2,2.8943
true,true,true,false,2,0.1235
true,false,true,true,2,0.6317
true,false,true,false,2,0.2355
true,false,false,true,2,0.7684
true,false,false,false,2,0.4113
false,true,true,true,2,0.8023
false,true,true,false,2,0.0586
false,true,false,true,2,2.8925
false,true,false,false,2,0.1272
false,false,true,true,2,0.6276
false,false,true,false,2,0.1041
false,false,false,true,2,0.7193
false,false,false,false,2,0.1543
true,true,true,true,3,3.0922
true,true,true,false,3,0.1290
true,false,true,true,3,0.6355
true,false,true,false,3,0.2441
true,false,false,true,3,0.7447
true,false,false,false,3,0.4609
false,true,true,true,3,0.8108
false,true,true,false,3,0.0543
false,true,false,true,3,3.0653
false,true,false,false,3,0.1228
false,false,true,true,3,0.6241
false,false,true,false,3,0.0860
false,false,false,true,3,0.6915
false,false,false,false,3,0.1613
true,true,true,true,4,2.8871
true,true,true,false,4,0.1242
true,false,true,true,4,0.6319
true,false,true,false,4,0.2572
true,false,false,true,4,0.7334
true,false,false,false,4,0.4068
false,true,true,true,4,0.7876
false,true,true,false,4,0.0526
false,true,false,true,4,3.1778
false,true,false,false,4,0.1225
false,false,true,true,4,0.6321
false,false,true,false,4,0.0822
false,false,false,true,4,0.6951
false,false,false,false,4,0.1514
true,true,true,true,5,2.7670
true,true,true,false,5,0.1263
true,false,true,true,5,0.6275
true,false,true,false,5,0.2469
true,false,false,true,5,0.7648
true,false,false,false,5,0.3988
false,true,true,true,5,0.7756
false,true,true,false,5,0.0541
false,true,false,true,5,3.1003
false,true,false,false,5,0.1289
false,false,true,true,5,0.6248
false,false,true,false,5,0.0915
false,false,false,true,5,0.6803
false,false,false,false,5,0.1589
true,true,true,true,6,3.1059
true,true,true,false,6,0.1241
true,false,true,true,6,0.6279
true,false,true,false,6,0.2448
true,false,false,true,6,0.7527
true,false,false,false,6,0.4002
false,true,true,true,6,0.7790
false,true,true,false,6,0.0522
false,true,false,true,6,2.8292
false,true,false,false,6,0.1207
false,false,true,true,6,0.6310
false,false,true,false,6,0.0741
false,false,false,true,6,0.7172
false,false,false,false,6,0.1545
true,true,true,true,7,2.7813
true,true,true,false,7,0.1262
true,false,true,true,7,0.6306
true,false,true,false,7,0.2814
true,false,false,true,7,0.7490
true,false,false,false,7,0.3889
false,true,true,true,7,0.7654
false,true,true,false,7,0.0560
false,true,false,true,7,2.7154
false,true,false,false,7,0.1269
false,false,true,true,7,0.6378
false,false,true,false,7,0.0780
false,false,false,true,7,0.7078
false,false,false,false,7,0.1611
true,true,true,true,8,2.8281
true,true,true,false,8,0.1274
true,false,true,true,8,0.6310
true,false,true,false,8,0.2647
true,false,false,true,8,0.7703
true,false,false,false,8,0.4479
false,true,true,true,8,0.8123
false,true,true,false,8,0.0502
false,true,false,true,8,2.7311
false,true,false,false,8,0.1242
false,false,true,true,8,0.6261
false,false,true,false,8,0.0814
false,false,false,true,8,0.6946
false,false,false,false,8,0.1619
true,true,true,true,9,2.8595
true,true,true,false,9,0.1268
true,false,true,true,9,0.6303
true,false,true,false,9,0.2614
true,false,false,true,9,0.7463
true,false,false,false,9,0.3987
false,true,true,true,9,0.7570
false,true,true,false,9,0.0582
false,true,false,true,9,2.6846
false,true,false,false,9,0.1221
false,false,true,true,9,0.6314
false,false,true,false,9,0.0742
false,false,false,true,9,0.7191
false,false,false,false,9,0.1574
true,true,true,true,10,2.8231
true,true,true,false,10,0.1266
true,false,true,true,10,0.6331
true,false,true,false,10,0.3005
true,false,false,true,10,0.7413
true,false,false,false,10,0.3960
false,true,true,true,10,0.8112
false,true,true,false,10,0.0554
false,true,false,true,10,2.7555
false,true,false,false,10,0.1217
false,false,true,true,10,0.6273
false,false,true,false,10,0.0758
false,false,false,true,10,0.7094
false,false,false,false,10,0.1557
true,true,true,true,11,2.6848
true,true,true,false,11,0.1291
true,false,true,true,11,0.6335
true,false,true,false,11,0.2605
true,false,false,true,11,0.7556
true,false,false,false,11,0.3979
false,true,true,true,11,0.7848
false,true,true,false,11,0.0550
false,true,false,true,11,2.7195
false,true,false,false,11,0.1243
false,false,true,true,11,0.6317
false,false,true,false,11,0.0795
false,false,false,true,11,0.6956
false,false,false,false,11,0.1646
true,true,true,true,12,3.1321
true,true,true,false,12,0.1232
true,false,true,true,12,0.6331
true,false,true,false,12,0.2422
true,false,false,true,12,0.7554
true,false,false,false,12,0.3786
false,true,true,true,12,0.7714
false,true,true,false,12,0.0561
false,true,false,true,12,2.8100
false,true,false,false,12,0.1215
false,false,true,true,12,0.6255
false,false,true,false,12,0.0742
false,false,false,true,12,0.7105
false,false,false,false,12,0.1493
true,true,true,true,13,2.7169
true,true,true,false,13,0.1231
true,false,true,true,13,0.6276
true,false,true,false,13,0.2786
true,false,false,true,13,0.7412
true,false,false,false,13,0.3837
false,true,true,true,13,0.7899
false,true,true,false,13,0.0562
false,true,false,true,13,2.6420
false,true,false,false,13,0.1290
false,false,true,true,13,0.6265
false,false,true,false,13,0.0770
false,false,false,true,13,0.7072
false,false,false,false,13,0.1672
true,true,true,true,14,2.6299
true,true,true,false,14,0.1248
true,false,true,true,14,0.6361
true,false,true,false,14,0.2674
true,false,false,true,14,0.7408
true,false,false,false,14,0.3909
false,true,true,true,14,0.7851
false,true,true,false,14,0.0658
false,true,false,true,14,2.7979
false,true,false,false,14,0.1249
false,false,true,true,14,0.6293
false,false,true,false,14,0.0865
false,false,false,true,14,0.7236
false,false,false,false,14,0.1597
true,true,true,true,15,2.9236
true,true,true,false,15,0.1236
true,false,true,true,15,0.6357
true,false,true,false,15,0.2746
true,false,false,true,15,0.7569
true,false,false,false,15,0.4011
false,true,true,true,15,0.7729
false,true,true,false,15,0.0536
false,true,false,true,15,3.1601
false,true,false,false,15,0.1221
false,false,true,true,15,0.6259
false,false,true,false,15,0.0812
false,false,false,true,15,0.7123
false,false,false,false,15,0.1532
true,true,true,true,16,2.9389
true,true,true,false,16,0.1222
true,false,true,true,16,0.6312
true,false,true,false,16,0.2895
true,false,false,true,16,0.7385
true,false,false,false,16,0.3903
false,true,true,true,16,0.7805
false,true,true,false,16,0.0525
false,true,false,true,16,2.5998
false,true,false,false,16,0.1242
false,false,true,true,16,0.6287
false,false,true,false,16,0.0812
false,false,false,true,16,0.7004
false,false,false,false,16,0.1649
true,true,true,true,17,2.8537
true,true,true,false,17,0.1318
true,false,true,true,17,0.9256
true,false,true,false,17,0.2190
true,false,false,true,17,0.7712
true,false,false,false,17,0.3963
false,true,true,true,17,0.7808
false,true,true,false,17,0.0619
false,true,false,true,17,2.7130
false,true,false,false,17,0.1233
false,false,true,true,17,0.6250
false,false,true,false,17,0.0845
false,false,false,true,17,0.7102
false,false,false,false,17,0.1503
true,true,true,true,18,2.6139
true,true,true,false,18,0.1242
true,false,true,true,18,0.6263
true,false,true,false,18,0.2909
true,false,false,true,18,0.7546
true,false,false,false,18,0.3986
false,true,true,true,18,0.7944
false,true,true,false,18,0.0518
false,true,false,true,18,2.6184
false,true,false,false,18,0.1262
false,false,true,true,18,0.6229
false,false,true,false,18,0.0798
false,false,false,true,18,0.6901
false,false,false,false,18,0.1573
true,true,true,true,19,2.6278
true,true,true,false,19,0.1266
true,false,true,true,19,0.6287
true,false,true,false,19,0.2739
true,false,false,true,19,0.7687
true,false,false,false,19,0.3960
false,true,true,true,19,0.8022
false,true,true,false,19,0.0534
false,true,false,true,19,2.9692
false,true,false,false,19,0.1227
false,false,true,true,19,0.6291
false,false,true,false,19,0.0779
false,false,false,true,19,0.7165
false,false,false,false,19,0.1518
true,true,true,true,20,3.0119
true,true,true,false,20,0.1297
true,false,true,true,20,0.6342
true,false,true,false,20,0.2651
true,false,false,true,20,0.7483
true,false,false,false,20,0.3927
false,true,true,true,20,0.7845
false,true,true,false,20,0.0576
false,true,false,true,20,2.7270
false,true,false,false,20,0.1250
false,false,true,true,20,0.6276
false,false,true,false,20,0.0744
